"Directory","FileName","FullPath","Extension","SizeMB","SizeBytes"
".NET Aspire","image011.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image011.jpg",".jpg","0.03","31757"
".NET Aspire","image012.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image012.jpg",".jpg","0.08","86700"
".NET Aspire","image013.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image013.gif",".gif","0.06","66528"
".NET Aspire","image014.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image014.png",".png","0.01","11165"
".NET Aspire","image015.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image015.png",".png","0","1893"
".NET Aspire","image016.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image016.png",".png","0.03","29537"
".NET Aspire","image017.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image017.png",".png","0","679"
".NET Aspire","image018.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image018.png",".png","0","2544"
".NET Aspire","image019.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image019.png",".png","0","1282"
".NET Aspire","image020.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image020.png",".png","0","843"
".NET Aspire","image021.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image021.png",".png","0","4428"
".NET Aspire","image022.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image022.gif",".gif","0.11","114951"
".NET Aspire","image023.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image023.jpg",".jpg","0.04","38821"
".NET Aspire","image024.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image024.jpg",".jpg","0.06","66650"
".NET Aspire","image025.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image025.gif",".gif","0.3","309482"
".NET Aspire","image026.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image026.jpg",".jpg","0.04","40504"
".NET Aspire","image027.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image027.jpg",".jpg","0.02","26115"
".NET Aspire","image028.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image028.gif",".gif","0.06","58540"
".NET Aspire","image029.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image029.jpg",".jpg","0.19","202561"
".NET Aspire","image030.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image030.gif",".gif","0.1","102448"
".NET Aspire","image031.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image031.gif",".gif","0.11","110347"
".NET Aspire","image032.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image032.gif",".gif","0.11","110920"
".NET Aspire","image033.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image033.gif",".gif","0","2838"
".NET Aspire","image034.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image034.jpg",".jpg","0.07","73020"
".NET Aspire","image035.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image035.gif",".gif","0.06","63796"
".NET Aspire","image036.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image036.png",".png","0.01","14298"
".NET Aspire","image037.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image037.gif",".gif","0.03","30473"
".NET Aspire","image038.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image038.gif",".gif","0.03","36305"
".NET Aspire","image039.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image039.gif",".gif","0","1799"
".NET Aspire","image040.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image040.jpg",".jpg","0.11","120417"
".NET Aspire","image041.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image041.jpg",".jpg","0.09","93660"
".NET Aspire","image042.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image042.jpg",".jpg","0.24","251089"
".NET Aspire","image043.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image043.gif",".gif","0.1","107006"
".NET Aspire","image044.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image044.jpg",".jpg","0.07","69794"
".NET Aspire","image045.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image045.jpg",".jpg","0.05","52700"
".NET Aspire","image046.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image046.gif",".gif","0.07","75710"
".NET Aspire","image047.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image047.jpg",".jpg","0.1","99676"
".NET Aspire","image048.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image048.gif",".gif","0.06","64618"
".NET Aspire","image049.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image049.jpg",".jpg","0.12","127290"
".NET Aspire","image050.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image050.gif",".gif","0.09","91369"
".NET Aspire","image051.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image051.jpg",".jpg","0.14","151608"
".NET Aspire","image052.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image052.gif",".gif","0.23","238790"
".NET Aspire","image053.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image053.jpg",".jpg","0.23","240601"
".NET Aspire","image054.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image054.gif",".gif","0.27","285491"
".NET Aspire","image055.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image055.gif",".gif","0.23","236941"
".NET Aspire","image056.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image056.jpg",".jpg","0.05","57471"
".NET Aspire","image057.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image057.jpg",".jpg","0.08","84243"
".NET Aspire","image058.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image058.jpg",".jpg","0.01","14347"
".NET Aspire","image059.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image059.jpg",".jpg","0.06","64463"
".NET Aspire","image060.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image060.gif",".gif","0.1","100316"
".NET Aspire","image061.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image061.gif",".gif","0.04","36971"
".NET Aspire","image062.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image062.gif",".gif","0","1773"
".NET Aspire","image063.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image063.gif",".gif","0","2055"
".NET Aspire","image064.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image064.jpg",".jpg","0.11","117581"
".NET Aspire","image065.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image065.gif",".gif","0.08","84862"
".NET Aspire","image066.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image066.jpg",".jpg","0.12","129630"
".NET Aspire","image067.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image067.gif",".gif","0.14","145261"
".NET Aspire","image068.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image068.jpg",".jpg","0.1","107609"
".NET Aspire","image069.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image069.gif",".gif","0.07","69735"
".NET Aspire","image070.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image070.jpg",".jpg","0.12","127706"
".NET Aspire","image071.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image071.gif",".gif","0.05","57013"
".NET Aspire","image072.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image072.jpg",".jpg","0.06","61890"
".NET Aspire","image073.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image073.jpg",".jpg","0.01","8133"
".NET Aspire","image074.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image074.gif",".gif","0.05","54002"
".NET Aspire","image075.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image075.gif",".gif","0","1696"
".NET Aspire","image076.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image076.jpg",".jpg","0.11","111315"
".NET Aspire","image077.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image077.gif",".gif","0.07","70200"
".NET Aspire","image078.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image078.png",".png","0","4786"
".NET Aspire","image079.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image079.png",".png","0","2530"
".NET Aspire","image080.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image080.gif",".gif","0.02","20914"
".NET Aspire","image081.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image081.jpg",".jpg","0.03","30056"
".NET Aspire","image082.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image082.jpg",".jpg","0.14","149764"
".NET Aspire","image083.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image083.png",".png","0.13","136765"
".NET Aspire","image084.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image084.gif",".gif","0.09","97982"
".NET Aspire","image085.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image085.jpg",".jpg","0.02","24718"
".NET Aspire","image086.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image086.jpg",".jpg","0.05","54664"
".NET Aspire","image087.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image087.jpg",".jpg","0.06","59701"
".NET Aspire","image088.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image088.gif",".gif","0.05","47556"
".NET Aspire","image089.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image089.jpg",".jpg","0.07","75773"
".NET Aspire","image090.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image090.jpg",".jpg","0.04","40612"
".NET Aspire","image091.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image091.jpg",".jpg","0.03","31183"
".NET Aspire","image092.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image092.gif",".gif","0.08","89074"
".NET Aspire","image093.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image093.jpg",".jpg","0.07","72795"
".NET Aspire","image094.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image094.gif",".gif","0.03","34395"
".NET Aspire","image095.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image095.gif",".gif","0.03","36380"
".NET Aspire","image096.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image096.jpg",".jpg","0.23","239651"
".NET Aspire","image097.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image097.gif",".gif","0.01","12562"
".NET Aspire","image098.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image098.jpg",".jpg","0.21","223712"
".NET Aspire","image099.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image099.gif",".gif","0","1804"
".NET Aspire","image100.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image100.gif",".gif","0","144"
".NET Aspire","image101.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image101.jpg",".jpg","0.13","134291"
".NET Aspire","image102.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image102.jpg",".jpg","0.03","29336"
".NET Aspire","image103.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image103.jpg",".jpg","0.08","81921"
".NET Aspire","image104.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image104.gif",".gif","0","1013"
".NET Aspire","image105.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image105.jpg",".jpg","0.28","293507"
".NET Aspire","image106.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image106.gif",".gif","0","965"
".NET Aspire","image107.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image107.jpg",".jpg","0.17","175492"
".NET Aspire","image108.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image108.gif",".gif","0","399"
".NET Aspire","image109.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image109.gif",".gif","0","335"
".NET Aspire","image110.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image110.jpg",".jpg","0.04","39827"
".NET Aspire","image111.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image111.jpg",".jpg","0.02","21665"
".NET Aspire","image112.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image112.jpg",".jpg","0.01","8043"
".NET Aspire","image113.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image113.gif",".gif","0","183"
".NET Aspire","image114.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image114.gif",".gif","0","116"
".NET Aspire","image115.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image115.gif",".gif","0","155"
".NET Aspire","image116.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image116.gif",".gif","0","162"
".NET Aspire","image117.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image117.gif",".gif","0","189"
".NET Aspire","image118.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image118.gif",".gif","0","128"
".NET Aspire","image119.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image119.jpg",".jpg","0.3","312327"
".NET Aspire","image120.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image120.jpg",".jpg","0","1255"
".NET Aspire","image121.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image121.gif",".gif","0","129"
".NET Aspire","image122.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image122.jpg",".jpg","0.53","552806"
".NET Aspire","image123.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image123.jpg",".jpg","0","1271"
".NET Aspire","image124.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image124.jpg",".jpg","0.58","607895"
".NET Aspire","image125.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image125.jpg",".jpg","0","1296"
".NET Aspire","image126.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image126.jpg",".jpg","0.58","608066"
".NET Aspire","image127.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image127.jpg",".jpg","0","1290"
".NET Aspire","image128.png","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image128.png",".png","0.17","183183"
".NET Aspire","image129.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image129.gif",".gif","0","1052"
".NET Aspire","image130.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image130.gif",".gif","0","147"
".NET Aspire","image131.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image131.gif",".gif","0","147"
".NET Aspire","image132.jpg","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image132.jpg",".jpg","0.12","123310"
".NET Aspire","image133.gif","C:\Users\tamirdresher\OneDrive\Lectures\.NET Aspire\Building Distributed Systems with Aspire  - Tamir Dresher_files\image133.gif",".gif","0","1892"
